id,food_name,ammount,calorie,carbohydrate,protein,fat
1,갈비구이,100,240,8,20,14
2,물회,700,529,55,34,19
3,자장면,650,797,134,20,20
4,소세지볶음,200,471,32,19,30
5,수정과,150,133,20,1,5
6,식혜,150,130,24,2,3
7,김치찌개,400,243,12,15,15
8,찜닭,1500,1364,140,114,39
9,해물찜,500,400,35,43,10
10,약과,30,120,25,1,1
11,한과,30,127,22,1,4
12,갈치구이,200,275,1,43,11
13,갈비탕,670,363,3,57,14
14,삼계탕,900,911,35,96,43
15,배추김치,40,10,1,1,0
16,만두,220,397,40,19,18
17,김밥,230,322,46,11,11
18,감자채볶음,130,139,17,3,7
19,떡볶이,180,260,47,6,5
20,피자,200,548,51,21,29
21,육회,150,195,12,15,10
22,깻잎장아찌,20,20,3,0,1
23,된장찌개,200,91,9,7,3
24,꼬막찜,200,192,14,24,5
25,계란찜,200,116,1,10,8
26,순대,220,410,79,6,8
27,족발,250,582,2,65,35
28,새우튀김,150,430,28,26,24
29,후라이드치킨,200,530,21,36,34
30,콩자반,100,271,39,19,4
